category,artifact,location,status,summary,command_or_worker,follow_up
worker,Tenant Security Audit,worker-lane,launched,"Audits tenant, organization, racetrack, federation, and veterinary privacy boundaries.","Tenant Security Audit","Reconcile worker findings into this CSV after completion."
worker,Data Flow Audit,worker-lane,launched,"Maps inputs, events, artifacts, twins, AI recommendations, approvals, audits, and outputs.","Data Flow Audit","Reconcile worker findings into this CSV after completion."
worker,Database Schema Audit,worker-lane,launched,"Audits migrations and seeds for scoped governance data structures.","Database Schema Audit","Reconcile worker findings into this CSV after completion."
worker,Services Boundary Audit,worker-lane,launched,"Audits services and API service extraction boundaries.","Services Boundary Audit","Reconcile worker findings into this CSV after completion."
worker,Infra Config Audit,worker-lane,launched,"Audits infra, Docker, deployment, CI, env, and stale frontend assumptions.","Infra Config Audit","Reconcile worker findings into this CSV after completion."
worker,Testing Coverage Audit,worker-lane,launched,"Audits unit, integration, route, AI, approval, tenant, and performance test coverage.","Testing Coverage Audit","Reconcile worker findings into this CSV after completion."
worker,Performance Test Audit,worker-lane,launched,"Audits available performance tests and lightweight backend smoke options.","Performance Test Audit","Reconcile worker findings into this CSV after completion."
worker,Artifact CSV Audit,worker-lane,launched,"Designs root CSV artifact index categories and columns.","Artifact CSV Audit","Reconcile worker findings into this CSV after completion."
worker,Docs Drift Audit,worker-lane,launched,"Audits docs for stale frontend and overclaimed certification/live data language.","Docs Drift Audit","Reconcile worker findings into this CSV after completion."
worker,Model Artifacts Audit,worker-lane,launched,"Audits model cards, prompt cards, evaluations, and ML implementation posture.","Model Artifacts Audit","Reconcile worker findings into this CSV after completion."
worker,Domain Ops Audit,worker-lane,launched,"Audits operational backend domains for scoped governance flows.","Domain Ops Audit","Reconcile worker findings into this CSV after completion."
worker,Event CQRS Audit,worker-lane,launched,"Audits command-event-projection-audit traceability and observability correlation.","Event CQRS Audit","Reconcile worker findings into this CSV after completion."
worker,Compliance Standards Audit,worker-lane,launched,"Audits standards, readiness, certification, and evidence language.","Compliance Standards Audit","Reconcile worker findings into this CSV after completion."
worker,Professor Synthesis Audit,worker-lane,launched,"Provides senior architecture readiness grading and top actions.","Professor Synthesis Audit","Reconcile worker findings into this CSV after completion."
